benchmark_label,context_bucket,mean_tokens_per_sec,std_tokens_per_sec,mean_speedup_vs_ar,n_rows
spec_fp16,long,36.78363063392797,7.829436944062934,0.6752468409049012,96
spec_quant_memonly,long,21.629748372439913,12.282316541002565,0.3973829329751718,288
spec_sparse,long,15.765281596150569,4.429235287477087,0.29039359911606843,288
spec_sparse_quant_memonly,long,10.89322196385799,4.7204796130401645,0.20052088630655596,864
spec_fp16,medium,38.475724390916525,8.390966950669261,0.6673329261166714,32
spec_quant_memonly,medium,24.455549829082447,11.926883160819473,0.42434718421829554,96
spec_sparse,medium,18.07738101473319,5.956845004609548,0.31404757083238,96
spec_sparse_quant_memonly,medium,12.626092161185944,5.928302369402053,0.21925575593352964,288
spec_fp16,short,39.40663342650669,8.294934674598451,0.6764463000387169,272
spec_quant_memonly,short,25.16381931998637,12.150013050842164,0.4319462663311657,816
spec_sparse,short,16.141368213887358,3.817269549898849,0.2770287279162734,816
spec_sparse_quant_memonly,short,11.301914902898455,4.545520189056793,0.1939757724543737,2448
