sweep_id,timestamp_utc,status,failure_reason,prompt_id,prompt_idx,context_bucket,prompt_len_tokens,mode,spec_k,sparsity_budget,quant_bits_requested,quant_bits_effective,recent_window,heavy_hitter_budget,sparse_refresh_interval,sparse_scoring,draft_cache_mode_resolved,quant_notes,trial_index,warmup,latency_e2e_s,acceptance_rate,tokens_per_sec,logical_draft_kv_bytes,logical_verifier_kv_bytes,gpu_torch_name,modal_resource_tag,model_name,max_new_tokens,verify_match,gpu_peak_memory_bytes_before_run,gpu_peak_memory_bytes_after_run,model_weights_gb,kv_cache_size_gb,effective_memory_bandwidth_gb_s,draft_latency_total_s,verify_latency_total_s
bench_smoke_modal_v1,2026-04-07T03:32:45.510198+00:00,ok,,mt-001,0,short,23,autoregressive,1,0.1,4,-1,,,2,key_norm,n/a,,0,false,0.4394073960000071,,18.20633897568686,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,262654976,276681216,0.248879616,0.00110592,4.551321407434771,,
bench_smoke_modal_v1,2026-04-07T03:32:47.705561+00:00,ok,,mt-002,1,short,18,autoregressive,1,0.1,4,-1,,,2,key_norm,n/a,,0,false,0.049031206999998744,,163.16139229450755,921600,921600,NVIDIA A10G,A10G,gpt2,8,False,272092160,275994112,0.248879616,0.0009216,40.757914199421016,,
bench_smoke_modal_v1,2026-04-07T03:32:49.987087+00:00,ok,,mt-003,2,short,23,autoregressive,1,0.1,4,-1,,,2,key_norm,n/a,,0,false,0.04877723099999898,,164.010950109082,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,272092160,276681216,0.248879616,0.00110592,41.000365272888125,,
bench_smoke_modal_v1,2026-04-07T03:32:52.910062+00:00,ok,,mt-001,0,short,23,autoregressive,1,0.1,8,-1,,,2,key_norm,n/a,,0,false,0.04869729800000755,,164.2801619095737,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,272092160,276681216,0.248879616,0.00110592,41.06766432913157,,
bench_smoke_modal_v1,2026-04-07T03:32:55.260852+00:00,ok,,mt-002,1,short,18,autoregressive,1,0.1,8,-1,,,2,key_norm,n/a,,0,false,0.04776202800000107,,167.49707529169032,921600,921600,NVIDIA A10G,A10G,gpt2,8,False,272092160,275994112,0.248879616,0.0009216,41.8409730843078,,
bench_smoke_modal_v1,2026-04-07T03:32:57.742563+00:00,ok,,mt-003,2,short,23,autoregressive,1,0.1,8,-1,,,2,key_norm,n/a,,0,false,0.04872722100000004,,164.17927876494318,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,272092160,276681216,0.248879616,0.00110592,41.04244500214774,,
bench_smoke_modal_v1,2026-04-07T03:33:00.636205+00:00,ok,,mt-001,0,short,23,autoregressive,1,0.1,16,-1,,,2,key_norm,n/a,,0,false,0.04889058900000265,,163.630673379688,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,272092160,276681216,0.248879616,0.00110592,40.90530159086224,,
bench_smoke_modal_v1,2026-04-07T03:33:03.623514+00:00,ok,,mt-002,1,short,18,autoregressive,1,0.1,16,-1,,,2,key_norm,n/a,,0,false,0.04920440000000781,,162.58708570775642,921600,921600,NVIDIA A10G,A10G,gpt2,8,False,272092160,275994112,0.248879616,0.0009216,40.614451715693775,,
bench_smoke_modal_v1,2026-04-07T03:33:06.204496+00:00,ok,,mt-003,2,short,23,autoregressive,1,0.1,16,-1,,,2,key_norm,n/a,,0,false,0.047382272000000114,,168.83951871282113,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,272092160,276681216,0.248879616,0.00110592,42.20743758340662,,
bench_smoke_modal_v1,2026-04-07T03:33:09.032665+00:00,ok,,mt-001,0,short,23,autoregressive,1,0.2,4,-1,,,2,key_norm,n/a,,0,false,0.04915785699999731,,162.7410242883541,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,272092160,276681216,0.248879616,0.00110592,40.68290218591322,,
bench_smoke_modal_v1,2026-04-07T03:33:11.434455+00:00,ok,,mt-002,1,short,18,autoregressive,1,0.2,4,-1,,,2,key_norm,n/a,,0,false,0.048184525000003475,,166.02840849835965,921600,921600,NVIDIA A10G,A10G,gpt2,8,False,272092160,275994112,0.248879616,0.0009216,41.47409833343497,,
bench_smoke_modal_v1,2026-04-07T03:33:13.767881+00:00,ok,,mt-003,2,short,23,autoregressive,1,0.2,4,-1,,,2,key_norm,n/a,,0,false,0.04808067599999788,,166.3870116967647,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,272092160,276681216,0.248879616,0.00110592,41.59434630245399,,
bench_smoke_modal_v1,2026-04-07T03:33:16.178590+00:00,ok,,mt-001,0,short,23,autoregressive,1,0.2,8,-1,,,2,key_norm,n/a,,0,false,0.047882965999981764,,167.07402795397107,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,272092160,276681216,0.248879616,0.00110592,41.766090429752445,,
bench_smoke_modal_v1,2026-04-07T03:33:19.616455+00:00,ok,,mt-002,1,short,18,autoregressive,1,0.2,8,-1,,,2,key_norm,n/a,,0,false,0.048276971999982266,,165.71047579377884,921600,921600,NVIDIA A10G,A10G,gpt2,8,False,272092160,275994112,0.248879616,0.0009216,41.39467835722452,,
bench_smoke_modal_v1,2026-04-07T03:33:22.424558+00:00,ok,,mt-003,2,short,23,autoregressive,1,0.2,8,-1,,,2,key_norm,n/a,,0,false,0.04809519700000209,,166.33677579072298,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,272092160,276681216,0.248879616,0.00110592,41.58178805255571,,
bench_smoke_modal_v1,2026-04-07T03:33:25.490878+00:00,ok,,mt-001,0,short,23,autoregressive,1,0.2,16,-1,,,2,key_norm,n/a,,0,false,0.04768966999999691,,167.75121320823814,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,272092160,276681216,0.248879616,0.00110592,41.935376948511696,,
bench_smoke_modal_v1,2026-04-07T03:33:27.731375+00:00,ok,,mt-002,1,short,18,autoregressive,1,0.2,16,-1,,,2,key_norm,n/a,,0,false,0.0480494659999664,,166.49508654280558,921600,921600,NVIDIA A10G,A10G,gpt2,8,False,272092160,275994112,0.248879616,0.0009216,41.590675076418066,,
bench_smoke_modal_v1,2026-04-07T03:33:30.518458+00:00,ok,,mt-003,2,short,23,autoregressive,1,0.2,16,-1,,,2,key_norm,n/a,,0,false,0.04826100999999028,,165.76528340375827,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,272092160,276681216,0.248879616,0.00110592,41.438923221880415,,
bench_smoke_modal_v1,2026-04-07T03:33:32.823257+00:00,ok,,mt-001,0,short,23,autoregressive,1,0.4,4,-1,,,2,key_norm,n/a,,0,false,0.047447738999991884,,168.6065588921185,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,272092160,276681216,0.248879616,0.00110592,42.14920099776182,,
bench_smoke_modal_v1,2026-04-07T03:33:35.077986+00:00,ok,,mt-002,1,short,18,autoregressive,1,0.4,4,-1,,,2,key_norm,n/a,,0,false,0.04817364299999838,,166.0659128478257,921600,921600,NVIDIA A10G,A10G,gpt2,8,False,272092160,275994112,0.248879616,0.0009216,41.483466965536884,,
bench_smoke_modal_v1,2026-04-07T03:33:37.451004+00:00,ok,,mt-003,2,short,23,autoregressive,1,0.4,4,-1,,,2,key_norm,n/a,,0,false,0.04798889299999587,,166.705241564974,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,272092160,276681216,0.248879616,0.00110592,41.6738991666295,,
bench_smoke_modal_v1,2026-04-07T03:33:40.202025+00:00,ok,,mt-001,0,short,23,autoregressive,1,0.4,8,-1,,,2,key_norm,n/a,,0,false,0.04836516800000368,,165.40829549065955,1105920,1105920,NVIDIA A10G,A10G,gpt2,8,False,272092160,276681216,0.248879616,0.00110592,41.34968140707891,,
