benchmark_label,mode,spec_k,sparsity_budget,quant_bits_requested,context_bucket,draft_cache_mode_resolved,n_rows,is_parallel_verification,quantization_type,mean_latency_e2e_s,std_latency_e2e_s,mean_latency_per_new_token_s,mean_memory_throughput_gb_s,mean_gpu_peak_memory_bytes_after_run,mean_draft_latency_total_s,mean_verify_latency_total_s,mean_acceptance_rate,mean_tokens_per_sec,mean_logical_draft_kv_bytes,gpu_torch_name
ar,autoregressive,0,0.0,-1,long,n/a,24,false,none,0.8723650865419804,0.27003151944606485,0.018383315148442343,183.41538837704582,3790886272.0,,,,54.474276027555,251596800.0,NVIDIA A10
ar,autoregressive,0,0.0,-1,medium,n/a,8,false,none,0.8265775048754449,0.27599458998331206,0.01735670322070959,185.80842126483472,3629726592.0,,,,57.65058187292894,107673600.0,NVIDIA A10
ar,autoregressive,0,0.0,-1,short,n/a,68,false,none,0.8239799799107881,0.27770287636698726,0.01716503255582122,183.20187226679,3489796562.8235292,,,,58.2849095502737,27955200.0,NVIDIA A10
spec_fp16,speculative_fp16,1,0.0,16,long,fp16,24,true,none,1.9411467502500794,0.6209528239460196,0.04075191159961067,82.6863354376538,4987213632.0,0.8397595760415631,0.8929518958343129,1.0,24.556625879186164,251904000.0,NVIDIA A10
spec_fp16,speculative_fp16,1,0.0,16,medium,fp16,8,true,none,1.876379023375307,0.6303955073542401,0.03937142516602066,81.90842182459377,3992201728.0,0.8457049222484585,0.89414097349907,1.0,25.411287136495332,107980800.0,NVIDIA A10
spec_fp16,speculative_fp16,1,0.0,16,short,fp16,68,true,none,1.8190424999558212,0.5827314216154991,0.038119928907627706,82.50671768040895,3367258164.7058825,0.8262943441023952,0.8726105431174815,1.0,26.246386204671104,28262400.0,NVIDIA A10
spec_fp16,speculative_fp16,3,0.0,16,long,fp16,24,true,none,1.301288968958185,0.40261187767959816,0.027429796319658806,122.96016602035849,4987675925.333333,0.8287804125425898,0.35387937175080236,1.0,36.5154049127372,251904000.0,NVIDIA A10
spec_fp16,speculative_fp16,3,0.0,16,medium,fp16,8,true,none,1.2563887373750475,0.42185253648273446,0.026366170064453964,122.3238906414764,3989393472.0,0.8343225373761669,0.35495881600384394,1.0,37.949783789310175,107980800.0,NVIDIA A10
spec_fp16,speculative_fp16,3,0.0,16,short,fp16,68,true,none,1.2138319629263759,0.38117563265515936,0.025498650951055524,123.39399486884685,3375739166.117647,0.8096549968683336,0.3486698790592893,1.0,39.25230415433424,28262400.0,NVIDIA A10
spec_fp16,speculative_fp16,5,0.0,16,long,fp16,24,true,none,1.1232452981666086,0.3289189165188586,0.02381448532877517,141.80512798844936,4987037205.333333,0.8104597312084346,0.21296217641590923,1.0,42.11300007435755,251904000.0,NVIDIA A10
spec_fp16,speculative_fp16,5,0.0,16,medium,fp16,8,true,none,1.0691125795000715,0.33359607985747264,0.022623774544923148,142.81752009125634,3986263040.0,0.8079359217496744,0.21080379400092397,1.0,44.305984196047845,107980800.0,NVIDIA A10
spec_fp16,speculative_fp16,5,0.0,16,short,fp16,68,true,none,1.0577974456028618,0.3141967844805817,0.022360159309281834,140.89151767691735,3375300096.0,0.8022315330434537,0.2140275042498408,0.9986213235294118,44.818956814494186,28262400.0,NVIDIA A10
spec_fp16,speculative_fp16,7,0.0,16,long,fp16,24,true,none,1.0779927792500577,0.3208793328152415,0.02281999889127695,147.98972121722636,4988391637.333333,0.8207779435418038,0.16440497783293986,1.0,43.94949166943095,251904000.0,NVIDIA A10
spec_fp16,speculative_fp16,7,0.0,16,medium,fp16,8,true,none,1.0293478143747876,0.3393491574807939,0.021646684646480896,149.03392257273887,3985903168.0,0.8235317631232562,0.16067179287729516,1.0,46.235842441812736,107980800.0,NVIDIA A10
